format_id,waive,setup_warning,warning,error,fatal
CELLS~systemverilog~arf132b192e1r1w0cbbehcaa4acw.sv,0,0,0,0,0
MACRO~lef~MACRO~arf132b192e1r1w0cbbehcaa4acw.lef,0,0,1,0,0
MACRO~lef~MACRO~arf132b192e1r1w0cbbehcaa4acw.prev.lef,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.55v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.55v_100c.min.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.65v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.65v_100c.min.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.85v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_0.85v_100c.min.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_1.10v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tmin_1.10v_100c.min.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.55v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.55v_100c.max.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.65v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.65v_100c.max.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.85v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_0.85v_100c.max.prev.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_1.10v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b192e1r1w0cbbehcaa4acw_p1276d4_tttt_1.10v_100c.max.prev.lib,0,0,0,0,0
ndm~ndm~frame~arf132b192e1r1w0cbbehcaa4acw.ndm,0,0,0,0,0
ndm~ndm~frame~arf132b192e1r1w0cbbehcaa4acw.prev.ndm,0,0,0,0,0
ndm~ndm~timing~arf132b192e1r1w0cbbehcaa4acw.ndm,0,0,0,0,0
ndm~ndm~timing~arf132b192e1r1w0cbbehcaa4acw.prev.ndm,0,0,0,0,0
upf~upf~arf132b192e1r1w0cbbehcaa4acw.upf,0,0,0,0,0
